date,periods,home_team,away_team,home_goal,away_goal
1929-10-06,1929,Juventus,Napoli,3,2
1929-10-06,1929,Lazio,Bologna,3,0
1929-10-06,1929,US Livorno,Inter,1,2
1929-10-06,1929,Milan,Brescia,4,1
1929-10-06,1929,Calcio Padova,Modena FC,1,3
1929-10-06,1929,Pro Patria,Cremonese,4,2
1929-10-06,1929,Pro Vercelli,Genova 1893 Circolo del Calcio,3,3
1929-10-06,1929,Unione Triestina,Torino,0,1
1929-10-06,1929,US Alessandria 1912,Roma,3,1
1929-10-13,1929,Pro Vercelli,Inter,1,0
1929-10-13,1929,Roma,Cremonese,9,0
1929-10-13,1929,Napoli,Brescia,1,1
1929-10-13,1929,Milan,Modena FC,1,0
1929-10-13,1929,Genova 1893 Circolo del Calcio,Lazio,2,0
1929-10-13,1929,US Alessandria 1912,Pro Patria,0,0
1929-10-13,1929,Bologna,Unione Triestina,2,2
1929-10-13,1929,Torino,Calcio Padova,3,1
1929-10-13,1929,US Livorno,Juventus,1,5
1929-10-20,1929,Lazio,US Alessandria 1912,0,0
1929-10-20,1929,Unione Triestina,Roma,1,1
1929-10-20,1929,Torino,US Livorno,3,0
1929-10-20,1929,Pro Patria,Genova 1893 Circolo del Calcio,0,1
1929-10-20,1929,Modena FC,Pro Vercelli,1,1
1929-10-20,1929,Cremonese,Juventus,0,0
1929-10-20,1929,Brescia,Calcio Padova,3,2
1929-10-20,1929,Inter,Bologna,2,1
1929-10-20,1929,Napoli,Milan,2,1
1929-10-27,1929,US Livorno,Modena FC,2,2
1929-10-27,1929,Cremonese,Unione Triestina,2,1
1929-10-27,1929,Pro Vercelli,Brescia,2,0
1929-10-27,1929,Calcio Padova,US Alessandria 1912,1,3
1929-10-27,1929,Milan,Roma,3,1
1929-10-27,1929,Bologna,Napoli,3,1
1929-10-27,1929,Genova 1893 Circolo del Calcio,Torino,1,0
1929-10-27,1929,Juventus,Pro Patria,1,0
1929-10-27,1929,Lazio,Inter,1,1
1929-11-03,1929,Juventus,Pro Vercelli,6,1
1929-11-03,1929,Roma,Brescia,2,1
1929-11-03,1929,Pro Patria,Calcio Padova,0,0
1929-11-03,1929,Modena FC,Genova 1893 Circolo del Calcio,2,1
1929-11-03,1929,Unione Triestina,Lazio,3,3
