periods,home_team,away_team,home_goals,away_goals
2021,Verona,Roma,3,0
2021,Fiorentina,Torino,1,0
2021,Sassuolo,Cagliari,1,1
2021,Parma,Napoli,0,2
2021,Juventus,Sampdoria,3,0
2021,Genoa,Crotone,4,1
2021,Milan,Bologna,2,0
2021,Cagliari,Lazio,0,2
2021,Sampdoria,Benevento,2,3
2021,Inter,Fiorentina,4,3
2021,Torino,Atalanta,2,4
2021,Spezia,Sassuolo,1,4
2021,Roma,Juventus,2,2
2021,Crotone,Milan,0,2
2021,Verona,Udinese,1,0
2021,Napoli,Genoa,6,0
2021,Bologna,Parma,4,1
2021,Lazio,Atalanta,1,4
2021,Benevento,Inter,2,5
2021,Udinese,Spezia,0,2
2021,Fiorentina,Sampdoria,1,2
2021,Sassuolo,Crotone,4,1
2021,Udinese,Roma,0,1
2021,Atalanta,Cagliari,5,2
2021,Parma,Verona,1,0
2021,Milan,Spezia,3,0
2021,Lazio,Inter,1,1
2021,Benevento,Bologna,1,0
2021,Inter,Milan,1,2
2021,Crotone,Juventus,1,1
2021,Sampdoria,Lazio,3,0
2021,Napoli,Atalanta,4,1
2021,Bologna,Sassuolo,3,4
2021,Spezia,Fiorentina,2,2
2021,Torino,Cagliari,2,3
2021,Roma,Benevento,5,2
2021,Udinese,Parma,3,2
2021,Verona,Genoa,0,0
2021,Sassuolo,Torino,3,3
2021,Lazio,Bologna,2,1
2021,Genoa,Inter,0,2
2021,Atalanta,Sampdoria,1,3
2021,Parma,Spezia,2,2
2021,Benevento,Napoli,1,2
2021,Juventus,Verona,1,1
2021,Fiorentina,Udinese,3,2
2021,Cagliari,Crotone,4,2
2021,Milan,Roma,3,3
2021,Crotone,Atalanta,1,2
2021,Bologna,Cagliari,3,2
2021,Inter,Parma,2,2
2021,Udinese,Milan,1,2
2021,Roma,Fiorentina,2,0
2021,Sampdoria,Genoa,1,1
2021,Spezia,Juventus,1,4
2021,Torino,Lazio,3,4
2021,Napoli,Sassuolo,0,2
2021,Verona,Benevento,3,1
2021,Genoa,Torino,1,2
2021,Sassuolo,Udinese,0,0
2021,Benevento,Spezia,0,3
2021,Cagliari,Sampdoria,2,0
2021,Parma,Fiorentina,0,0
2021,Bologna,Napoli,0,1
2021,Torino,Crotone,0,0
2021,Genoa,Roma,1,3
2021,Atalanta,Inter,1,1
2021,Lazio,Juventus,1,1
2021,Milan,Verona,2,2
2021,Crotone,Lazio,0,2
2021,Spezia,Atalanta,0,0
2021,Juventus,Cagliari,2,0
2021,Verona,Sassuolo,0,2
2021,Udinese,Genoa,1,0
2021,Roma,Parma,3,0
2021,Inter,Torino,4,2
2021,Fiorentina,Benevento,0,1
2021,Napoli,Milan,1,3
2021,Sampdoria,Bologna,1,2
2021,Benevento,Juventus,1,1
2021,Sassuolo,Inter,0,3
2021,Atalanta,Verona,0,2
2021,Napoli,Roma,4,0
